,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
556,Arab World,ARB,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,,,,,,,,,,,25.6551609039,25.583360672,26.4297199249,27.3790092468,28.3338603973,29.8677101135,31.5784301758,33.5944709778,35.5606307983,37.1554298401,38.448841095,39.4217414856,41.1222991943,42.4377098083,43.9410591125,45.6487693787,47.7449798584,49.0473403931,49.5960006714,50.3433189392,53.099899292,53.1022186279,51.8536300659,52.4347610474,54.4239196777,54.3593788147,54.2636108398,55.5745201111,56.9862594604,58.4748687744,59.7451782227,61.1717987061,62.2349281311,64.0377731323,65.8538589478,65.9310073853,65.8479309082,64.6981582642,65.3422927856,66.8289031982,68.0508804321,70.6914901733,71.7165603638,70.2746887207,70.7350463867,,
591,Arab World,ARB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27383726054,1.42932841533,3.22861362127,0.903992033787,1.13331383304,,1.80209621202,2.87666695585,1.74813712883,1.5038231576,1.494860127,1.66849500083,1.16380354269,1.44722040701,1.34497558013,1.10078117021,1.55407908607,,1.58369235863,,2.11595041907,1.74829264145,3.31009407988,,
626,Arab World,ARB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,21.957932209,20.6759922038,21.1382029128,23.9034994073,24.7784618177,31.8626697296,31.909136171,36.3509515686,38.5241857421,35.9149000806,34.2740160546,40.0300388316,43.1084553168,40.6459261535,39.2248224905,35.0104905655,32.6786202068,31.2376544492,32.657103562,36.1625812553,33.5875560334,40.1333291024,33.7749194571,31.9900016201,29.2942753359,30.6203209175,29.2517151357,31.158621064,33.4723607734,30.2540430206,28.303156547,31.5870037855,32.142337315,34.3814341898,36.1568014204,36.431257057,35.8864464204,39.7259686366,40.8785181425,42.2964759999,39.4873857902,38.2412393468,39.1695623732,38.8754830942,39.8436317329,43.8346084142,
647,Arab World,ARB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Arab World,ARB,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2944011652,56.8638368068,57.2788297581,56.680407914,56.0316221634,56.0078451413,55.3604265236,53.9857099284,55.847706037,,52.4047484049,53.3768588767,52.1760661327,50.4214629666,48.7283723535,41.4297555224,
657,Arab World,ARB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,1.30379017462,3.23596570613,6.88471890461,2.69895573531,12.1829258091,26.9226785019,5.139413248,7.52452758434,9.72401199956,5.92516993572,15.0505675968,20.0283449286,11.4320775842,6.41380760714,6.88749696075,6.59117809193,4.4784201966,4.88397439561,9.36808988986,5.0338121289,8.40158927456,14.2827939007,7.61051704037,5.11898581539,4.54566553079,7.89003053557,6.68404131897,5.77304391647,2.51989255361,-0.299401034925,5.81165476808,10.1477408472,0.779777622969,3.56464237045,5.70461192313,10.8499541457,11.9664316105,8.84253138134,6.39534430363,14.7863896842,-4.36578079393,11.084603193,15.6932452073,4.19385128629,1.73986605439,0.347302783087,-0.998263601432,
700,Arab World,ARB,Internet users (per 100 people),IT.NET.USER.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0170250493796,0.0377606884259,0.131045576746,0.261615115137,0.598582149624,1.13954112252,1.56128816989,2.69306101334,3.64588078277,7.00681246096,8.39314172532,11.6546479149,14.205902237,18.5935311754,21.5453538967,24.5357799041,26.5499874961,29.9543020586,32.349895891,36.0071298514,39.5261540659,
745,Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.8500221997,47.4301269937,48.008602901,48.5897653203,49.1743524732,49.7576231228,50.3299930228,50.8856967104,51.4242998556,51.9518774129,52.4789448125,53.0207204473,53.5870213525,54.1791831729,54.7918301429,55.4166047696,56.0427629535,56.6611918917,57.2711677591,57.8797403966,58.4983686529,59.1375735308,59.7995323943,60.4782104512,61.1576384623,61.8189457951,62.440710371,63.0092850697,63.5170691137,63.9635171966,64.4487756958,64.7962243465,65.0698103742,65.4002521549,65.7461078405,66.1458310861,66.4867392943,66.8179436424,67.1181903397,67.4033131441,67.6514348947,67.8846698167,68.1026251612,68.3135558758,68.5327227982,68.7535209692,68.9831885621,69.2070082278,69.417182777,69.6189294898,69.813024804,69.9930095159,70.17366957,70.3698056783,70.5679019106,,
818,Arab World,ARB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.05472557404,7.80426374213,,11.4790976445,8.72510668727,7.93732632608,7.34924333935,6.65772391775,6.08319105991,6.26556952959,7.17297511802,6.19488118705,6.08618714759,6.51872757928,5.9987656402,5.56582949172,5.16317480005,4.71959897425,4.46305587004,4.57969766618,4.19808545571,5.37263935278,5.12287918562,5.08626352603,5.27750474128,5.85106651542,6.44068154966,8.1895814945,
827,Arab World,ARB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00136552306845,0.00203251525982,0.00274058916604,0.00448781030598,0.0113801091384,0.0173610847102,0.0197668054138,0.0287276516718,0.0388256339718,0.0560618657431,0.0635700870907,0.0812980040551,0.105012026802,0.197623255198,0.355462105251,0.611174873184,0.935105894543,1.49095141515,3.17849592906,5.74661080297,8.52664458467,11.596382482,16.8376943659,26.7900399566,38.8456720407,52.5371804027,62.9209688151,76.156366613,87.6288181117,98.8733138798,105.037174595,110.012610323,110.338745454,110.112685078,
912,Arab World,ARB,Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,,6.97565625034,7.1684738533,7.36789192567,7.57422160886,7.78766798167,8.00920219574,8.23891864309,8.47518102388,8.71568877082,8.95928437039,9.20459055033,9.4534746728,9.71195591659,9.988081099,10.2874335428,10.612271617,10.960192942,11.3262891909,11.7032804117,12.0856569855,12.4718573287,12.8627890315,13.2583449299,13.6590759639,14.0653180848,14.475880012,14.8898672937,15.3082986476,15.7327455663,16.309149206,16.7550406485,17.067702896,17.530926832,17.9876770505,18.5516233068,18.9804529665,19.4012761,19.8151145797,20.2327639048,20.6600642058,21.0970830103,21.5441597926,22.0078797219,22.4953376883,23.0114707089,23.5597361282,24.1369879765,24.7333832162,25.3378148563,25.9300991976,26.5109810968,27.0828448683,27.6493719336,28.217053987,28.7905542545,
1146,Arab World,ARB,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102898887112,0.103273374484,0.108891460701,0.109868452396,0.115472350684,0.121297426184,0.12223640102,0.128105887966,0.132028088321,0.134412103095,0.134829859215,0.136143758739,0.136219666357,0.135985906861,0.14909903858,0.14894653168,0.148418320755,0.14690159498,0.146778625946,0.146340500477,0.145275513863,0.141830332638,0.14175942715,0.140308595969,0.154970741273,0.155495106113,
1220,Arab World,ARB,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,Arab World,ARB,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1268459691,47.2337725044,45.8927725482,43.7109136273,43.1774565058,40.3679332918,40.2508908534,40.9220084642,37.8689575795,,43.2363778648,40.3417108231,41.4021752101,42.8130056858,44.5687615038,51.6824818933,
1319,Arab World,ARB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,Arab World,ARB,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7923076923,41.6125,39.2611111111,38.0388888889,31.565,21.81,21.16,21.185,20.63,21.4095238095,20.1,19.1,21.5272727273,22.5954545455
1522,Caribbean small states,CSS,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,6.21470459331,6.43996447845,6.60881841138,6.83499944515,,6.88368395866,6.39429247042,6.44763091609,6.74573480419,7.20558444995,7.01268952314,7.22390122441,6.94856302246,6.39992587745,6.05068529553,5.85950348236,5.34785527483,5.20430419803,4.89921993951,4.6280894014,4.30076310756,4.24172805682,4.27365639474,3.93724752747,3.95749884808,4.18196326749,4.01611395737,4.06170434917,4.12197412046,4.15632404856,4.21694666553,4.60713715806,
1660,Caribbean small states,CSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.40264077827,2.06148804194,2.70387475743,1.3491373655,2.359684452,2.59821674614,2.52644380166,2.97559786048,2.94042516884,3.08134913316,4.29292692003,5.07239375265,5.11622602762,6.06101928034,5.7580806476,6.09852035359,6.63856719886,7.29272902779,6.93260135356,6.93733340433,7.09871230593,5.8873803036,5.6474328017,5.05319844384,5.04172684688,5.52558631396,4.78376475737,4.98668734515,4.61163284291,5.04830979855,5.3032866427,6.03413411249,5.93352056937,5.27911868998,5.77090599321,6.10494125164,6.26561857339,5.8652881612,5.86814664624,6.42957468597,6.61225265372,6.83400839189,6.93313342195,7.08026087182,7.53057465541,7.25954808042,9.89358727456,9.89670870623,9.69788724506,9.07111303082,9.59953105731,9.33459190682,9.07300102579,9.3518105713,,,
1787,Caribbean small states,CSS,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,8.93005176011,13.6286130338,15.0549713439,14.0738742643,16.2239127789,17.9197126636,18.5759989993,18.4698629983,19.952673679,30.08003157,32.6348040647,34.0877726774,35.1185208748,41.2997019959,28.819137242,27.4249511912,31.8232849515,28.9482698956,27.5093495899,29.2692214351,26.4084993419,31.3193074986,44.2395466749,58.488750748,58.562797102,60.8774870249,68.2253411809,66.1142757947,71.2606477871,65.4325969416,59.2769556485,59.4421714078,61.0279671157,56.9318297007,51.0475957158,53.7061204498,54.4160158395,56.4748487174,57.2985599064,57.0322801768,55.0618776407,58.5142796468,60.0481781975,58.3207048258,54.6167708592,52.4623254926,49.9797018105,51.3388576533,47.8410374518,61.1048429333,53.6694833014,48.924655364,52.915813093,51.8425044784,52.7744600346,56.1747468144,
1819,Caribbean small states,CSS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,Caribbean small states,CSS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854.4129953,,,,,,,,,,,,,,3128.07052775,3433.22547673,3769.33532159,3923.68240346,,,,,,,,,
1873,Caribbean small states,CSS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,50.5548444101,55.3230777906,53.2858805437,53.2406828248,53.8033675252,52.7695228055,42.8878062934,42.5546392534,43.3086236006,44.1570302008,42.3727548837,42.9954905527,40.6746884014,42.328427287,52.6941950818,49.7457870639,48.6189721056,50.4725572981,51.3198425775,52.4258667849,56.6184761427,51.4072309932,44.369402023,42.1287854852,46.7929294648,46.8489038774,45.7296087135,45.122603726,43.665581314,46.7274839705,48.9342769334,48.4573120459,51.1687786336,47.3067526463,47.7544880414,51.3777673962,48.3938368292,47.8309187777,47.9988809902,48.890471078,51.953579226,48.9740489844,43.2913086865,44.9855319661,47.2440971748,51.116557122,58.7474728266,52.1033050423,54.6067510281,43.94326603,45.611539648,48.898359699,46.006893721,44.2361523157,42.1885917719,38.2374332684,
1900,Caribbean small states,CSS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.52010293884,5.5325787283,5.52302044416,5.49132195779,5.4385108968,5.36673418005,5.27606088209,5.17165895248,5.05879548397,4.9416595464,4.8224936395,4.69875751137,4.56966220831,4.43592163989,4.2984338473,4.16255924811,4.03787880291,3.92439168824,3.82471249772,3.74030774448,3.66766879571,3.60247166919,3.53808126118,3.47069037239,3.39809217969,3.31958633707,3.23764817901,3.15583460179,3.07769816,3.00370696275,2.93614212328,2.8719120684,2.81327247128,2.75865925145,2.70740717192,2.65804994192,2.61176222817,2.56584354798,2.52045280827,2.47598823513,2.43296842642,2.39317632998,2.35696900014,2.32481224073,2.29625493622,2.27159950359,2.24962960154,2.22844165639,2.20688045549,2.18461543701,2.1613576448,2.13878585468,2.11692018292,2.09618927438,2.07681118579,,
1947,Caribbean small states,CSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,3.24764354227,5.71467683943,5.255249647,5.34204366611,1.90847702005,9.02879173352,-0.872748556613,-2.70912223427,-1.03206686572,-0.230115872796,4.24747605556,6.07664488235,3.40105056824,-1.15323549451,0.848670079517,1.27805059838,-2.85852321066,0.189448620218,-0.908122459486,0.772690957951,1.07270173289,2.03154130751,4.52751106406,1.59445464294,1.59930279863,-0.219540435828,2.87352828308,2.67602178783,2.9543489256,3.3627780294,3.14150826389,2.8014279035,4.05490509816,3.78786600134,2.08584738168,3.83700888651,6.09267860977,4.22391892106,3.71247581097,6.93771149845,3.25131881748,1.3761829779,-3.51934268816,1.42165815559,1.03471401098,1.28086951688,1.64134011167,0.584161128321,0.242432106738,
1979,Caribbean small states,CSS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5364.59294893,5609.26409086,5784.41147298,6254.26929286,6461.56759296,6876.67686628,7297.68855892,7436.1159859,7654.9908881,7974.44084415,8376.33478775,8581.86772451,9092.50699814,9837.23134904,10586.3433379,11263.895115,12454.9009742,13199.3549384,13655.5700602,13116.671684,13466.4857154,13332.7375766,13716.2981436,14379.8982365,14569.0993245,15095.8425126,
2004,Caribbean small states,CSS,"Gross enrollment ratio, primary, both sexes (%)",SE.PRM.ENRR,,,,,,,,,,,108.986366272,108.798210144,109.817428589,107.824226379,108.584213257,105.348617554,104.939247131,107.529266357,107.586952209,107.312767029,104.952606201,103.735496521,104.823486328,105.057510376,104.394111633,104.646972656,104.617042542,106.126831055,106.292518616,107.624763489,105.61289978,103.969657898,103.991371155,103.769309998,104.28692627,103.640350342,103.140991211,103.24546051,102.779747009,101.4715271,101.768836975,100.315849304,99.190612793,99.6792221069,100.85610199,100.390792847,100.583961487,98.228187561,100.009002686,99.8116912842,98.6425628662,99.419631958,99.9437408447,99.5170669556,99.7525634766,,
2008,Caribbean small states,CSS,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,,,,,,,,,,,53.2616500854,53.2490005493,54.1560211182,54.1370811462,52.8108711243,58.1856384277,60.0185089111,61.4076881409,63.0120391846,64.4429092407,67.2031173706,65.1358795166,65.0117263794,65.4444885254,65.3551864624,66.7039871216,67.2978668213,68.4804992676,70.3732910156,69.9764785767,71.3612213135,72.9233627319,73.2808532715,72.3380279541,74.3587493896,76.3359298706,78.2949066162,80.1780090332,81.7745437622,83.3394775391,84.5883102417,85.8739624023,85.9874572754,85.8223114014,88.0380935669,87.8315124512,88.8706970215,89.6788787842,90.4059295654,90.562171936,90.0459289551,91.0016708374,85.3184280396,79.5851669312,79.3260269165,,
2043,Caribbean small states,CSS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52446200813,4.00050369977,3.75648248072,2.61678589625,2.22623091129,11.5752588161,4.89884616088,5.63191523783,4.96723398064,3.50983452355,1.91719650106,2.13770913316,2.69976585393,2.60590511184,2.4529015713,1.34161690139,2.00572476093,2.18136256603,,,,,,
2078,Caribbean small states,CSS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,54.0054901822,54.4231238409,53.5410416247,51.6312628345,57.1648236113,59.1012531595,39.8009570738,38.2670151146,39.1449741855,42.9345823485,42.5108070532,46.8263802599,46.2501055378,42.7418478289,42.644043146,44.1262731903,44.4468312519,44.6314590098,47.1950723127,51.6784297328,54.9185447189,54.191936066,52.9368133994,49.3884173207,49.4008794541,48.0684619404,46.5507815163,44.8882585798,43.3483920623,47.2683323325,45.5105920886,48.9857748437,48.6781644178,46.502151351,45.7271992951,51.0446289945,50.0631385425,55.2663648167,56.1240734499,49.4916711912,49.9587249617,50.2991994665,47.8800917684,46.754738243,48.191496284,50.4234282916,50.4965699996,50.4098056386,53.2580610743,46.6158711454,44.0467863438,50.1574997484,49.5570542164,48.4091603776,48.3217788223,47.5184719096,
2099,Caribbean small states,CSS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102,Caribbean small states,CSS,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2194811718,32.4444839635,32.8530919854,31.2714070196,31.9537184102,34.3530991058,33.7553070402,33.099401857,32.3247383677,28.8971630171,29.4110709371,31.8413034249,30.138771617,29.7330184024,32.9011463347,34.8242710278,35.832296162,36.4851335362,36.3767710043,37.981845951,33.0564309006,33.6070159372,34.7725821353,33.6554177889,31.9685348245,30.6462009719,28.5460191932,
2109,Caribbean small states,CSS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,7.71460394627,12.4864965386,8.62483296569,13.0252776069,11.3985295242,8.64294279536,5.75959879303,5.9769670236,3.81524312763,3.51651229708,4.66038702946,7.3303515157,4.81499530201,5.70586880936,5.07371104626,4.82710193235,4.01264167577,2.44288269028,3.71614732324,3.12689243558,2.55696285334,1.89981467478,2.85234962884,3.35021206327,7.98971628479,2.14417694307,1.0170492744,1.12473035206,3.67991836562,5.05682749772,4.48904729514,6.12721540982,3.14426470008,0.918599965709,1.36600206863,2.87349304777,2.67919954905,1.41770227181,-0.219800131388,-0.0873826988419,
2152,Caribbean small states,CSS,Internet users (per 100 people),IT.NET.USER.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.193912107864,0.554448785451,0.904680903113,1.94387638764,3.37912319532,4.9408777836,8.35771142995,11.8222968147,14.9761847217,16.8911922857,19.4889586938,22.3448525652,24.493878696,27.7240474062,31.9269499652,35.7431661252,42.5421839662,43.1370942656,46.0331197975,49.1875928025,51.9169995202,
2197,Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.3182115997,62.8152013096,63.2717177623,63.6843215464,64.0541568267,64.3831998823,64.6765917811,64.9439850692,65.1961889497,65.4418090265,65.6884766548,65.941996467,66.2037520317,66.4719449701,66.7457288819,67.0228323345,67.3008005549,67.5738412614,67.8376321022,68.090987921,68.3301631212,68.5472598764,68.7446467113,68.9194230002,69.0682051476,69.1898594853,69.2898101554,69.3794903249,69.4414621938,69.5112036555,69.5731082906,69.6285228354,69.7149903064,69.7191243041,69.7605692811,69.805081662,69.858650181,69.9876860661,69.9923310519,70.0808011202,70.1905836561,70.327238638,70.5586674373,70.6696202692,70.8698773598,71.0842235304,71.3082303343,71.5358044223,71.7614744425,71.9793680136,72.1845959119,72.3733093791,72.5454847425,72.7022728567,72.8446998092,,
2270,Caribbean small states,CSS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.710829157146,,,0.745471189923,,,,,
